,Sample combination,Bray_curtis_value
553,"(18, 23)",0.68
554,"(18, 24)",0.69
555,"(18, 25)",0.64
556,"(18, 26)",0.65
557,"(18, 27)",0.73
558,"(18, 28)",0.39
559,"(18, 29)",0.37
560,"(18, 30)",0.4
561,"(18, 31)",0.25
562,"(18, 32)",0.25
563,"(18, 33)",0.35
564,"(18, 34)",0.36
565,"(18, 35)",0.26
566,"(18, 36)",0.27
567,"(18, 37)",0.73
568,"(18, 38)",0.73
569,"(18, 39)",0.72
570,"(19, 20)",0.28
571,"(19, 21)",0.36
572,"(19, 22)",0.36
573,"(19, 23)",0.69
574,"(19, 24)",0.69
575,"(19, 25)",0.65
576,"(19, 26)",0.66
577,"(19, 27)",0.73
578,"(19, 28)",0.39
579,"(19, 29)",0.37
580,"(19, 30)",0.4
581,"(19, 31)",0.26
582,"(19, 32)",0.26
583,"(19, 33)",0.34
584,"(19, 34)",0.35
585,"(19, 35)",0.25
586,"(19, 36)",0.25
587,"(19, 37)",0.73
588,"(19, 38)",0.73
589,"(19, 39)",0.73
590,"(20, 21)",0.36
591,"(20, 22)",0.37
592,"(20, 23)",0.65
593,"(20, 24)",0.65
594,"(20, 25)",0.63
595,"(20, 26)",0.65
596,"(20, 27)",0.73
597,"(20, 28)",0.37
598,"(20, 29)",0.35
599,"(20, 30)",0.38
600,"(20, 31)",0.24
601,"(20, 32)",0.25
602,"(20, 33)",0.34
603,"(20, 34)",0.35
604,"(20, 35)",0.23
605,"(20, 36)",0.23
606,"(20, 37)",0.73
607,"(20, 38)",0.74
608,"(20, 39)",0.77
609,"(21, 22)",0.02
610,"(21, 23)",0.66
611,"(21, 24)",0.67
612,"(21, 25)",0.6
613,"(21, 26)",0.59
614,"(21, 27)",0.6
615,"(21, 28)",0.34
616,"(21, 29)",0.35
617,"(21, 30)",0.38
618,"(21, 31)",0.27
619,"(21, 32)",0.26
620,"(21, 33)",0.37
621,"(21, 34)",0.39
622,"(21, 35)",0.35
623,"(21, 36)",0.36
624,"(21, 37)",0.61
625,"(21, 38)",0.61
626,"(21, 39)",0.67
