,Sample combination,Bray_curtis_value
618,"(21, 31)",0.06
619,"(21, 32)",0.06
620,"(21, 33)",0.06
621,"(21, 34)",0.06
622,"(21, 35)",0.08
623,"(21, 36)",0.08
624,"(21, 37)",0.06
625,"(21, 38)",0.06
626,"(21, 39)",0.07
627,"(22, 23)",0.08
628,"(22, 24)",0.08
629,"(22, 25)",0.09
630,"(22, 26)",0.09
631,"(22, 27)",0.06
632,"(22, 28)",0.07
633,"(22, 29)",0.07
634,"(22, 30)",0.07
635,"(22, 31)",0.06
636,"(22, 32)",0.06
637,"(22, 33)",0.06
638,"(22, 34)",0.06
639,"(22, 35)",0.08
640,"(22, 36)",0.08
641,"(22, 37)",0.06
642,"(22, 38)",0.06
643,"(22, 39)",0.07
644,"(23, 24)",0.0
645,"(23, 25)",0.02
646,"(23, 26)",0.02
647,"(23, 27)",0.08
648,"(23, 28)",0.03
649,"(23, 29)",0.02
650,"(23, 30)",0.02
651,"(23, 31)",0.04
652,"(23, 32)",0.04
653,"(23, 33)",0.05
654,"(23, 34)",0.05
655,"(23, 35)",0.02
656,"(23, 36)",0.02
657,"(23, 37)",0.08
658,"(23, 38)",0.08
659,"(23, 39)",0.04
660,"(24, 25)",0.02
661,"(24, 26)",0.02
662,"(24, 27)",0.08
663,"(24, 28)",0.03
664,"(24, 29)",0.02
665,"(24, 30)",0.02
666,"(24, 31)",0.04
667,"(24, 32)",0.04
668,"(24, 33)",0.05
669,"(24, 34)",0.05
670,"(24, 35)",0.02
671,"(24, 36)",0.02
672,"(24, 37)",0.08
673,"(24, 38)",0.08
674,"(24, 39)",0.04
675,"(25, 26)",0.0
676,"(25, 27)",0.09
677,"(25, 28)",0.04
678,"(25, 29)",0.04
679,"(25, 30)",0.04
680,"(25, 31)",0.05
681,"(25, 32)",0.05
682,"(25, 33)",0.06
683,"(25, 34)",0.06
684,"(25, 35)",0.03
685,"(25, 36)",0.03
686,"(25, 37)",0.09
687,"(25, 38)",0.09
688,"(25, 39)",0.05
689,"(26, 27)",0.09
690,"(26, 28)",0.04
691,"(26, 29)",0.04
692,"(26, 30)",0.04
